Pais,Año,PIB,Pobreza,Tasa de empleo,Mortalidad,Alfabetizacion,Años de estudio
Argentina,2005,10382.0,68.2,-0.56,15.4,70.3,7.4
Argentina,2006,11102.0,68.2,-0.5,14.9,70.3,7.4
Argentina,2007,11980.0,68.2,-0.45,14.4,70.3,7.4
Argentina,2008,12343.0,68.2,-0.31,14.0,70.3,7.4
Argentina,2009,11496.0,68.2,-0.19,13.5,70.3,7.4
Argentina,2010,12532.0,68.2,-0.12,13.1,70.3,7.4
Argentina,2011,13149.0,68.2,-0.02,12.7,70.3,7.4
Argentina,2012,12880.0,68.2,0.07,12.2,70.3,7.4
Argentina,2013,13055.0,68.2,0.13,11.8,70.3,7.4
Argentina,2014,12597.0,68.2,0.14,11.5,70.3,7.4
Argentina,2015,12812.0,68.2,0.13,11.1,70.3,7.4
Argentina,2016,12427.0,68.2,0.12,10.7,70.3,7.4
Argentina,2017,12665.0,68.2,0.11,10.4,70.3,7.4
Argentina,2018,12234.0,68.2,0.11,10.1,70.3,7.4
Argentina,2019,11900.0,68.2,0.1,9.8,70.3,7.4
Argentina,2020,10653.0,68.2,0.05,9.5,70.3,7.4
Bahamas,1990,31563.0,68.2,0.89,19.9,70.3,7.4
Bahamas,1991,29652.0,68.2,1.51,19.0,70.3,7.4
Bahamas,1992,27921.0,68.2,1.55,18.2,70.3,7.4
Bahamas,1993,27404.0,68.2,1.56,17.3,70.3,7.4
Bahamas,1994,27710.0,68.2,1.56,16.5,70.3,7.4
Bahamas,1995,28382.0,68.2,1.55,15.8,70.3,7.4
Bahamas,1996,29067.0,68.2,1.5,15.1,70.3,7.4
Bahamas,1997,29983.0,68.2,1.45,14.6,70.3,7.4
Bahamas,1998,30880.0,68.2,1.4,14.2,70.3,7.4
Bahamas,1999,32580.0,68.2,1.33,14.0,70.3,7.4
Bahamas,2000,33441.0,68.2,2.6,14.0,70.3,7.4
Bahamas,2001,33840.0,68.2,0.89,14.0,70.3,7.4
Bahamas,2002,34297.0,68.2,1.9,14.2,70.3,7.4
Bahamas,2003,33413.0,68.2,2.82,14.3,70.3,7.4
Bahamas,2004,33256.0,68.2,3.01,14.6,70.3,7.4
Bahamas,2005,33921.0,68.2,2.3,14.5,70.3,7.4
Bahamas,2006,34291.0,68.2,4.94,14.4,70.3,7.4
Bahamas,2007,34301.0,68.2,4.85,14.2,70.3,7.4
Bahamas,2008,33033.0,68.2,4.08,13.9,70.3,7.4
Bahamas,2009,31198.0,68.2,4.4,13.7,70.3,7.4
Bahamas,2010,31237.0,68.2,5.11,13.4,70.3,7.4
Bahamas,2011,31038.0,68.2,3.67,13.1,70.3,7.4
Bahamas,2012,31652.0,68.2,2.75,12.8,70.3,7.4
Bahamas,2013,30467.0,68.2,2.6,12.6,70.3,7.4
Bahamas,2014,30751.0,68.2,2.57,12.3,70.3,7.4
Bahamas,2015,30772.0,68.2,2.55,12.4,70.3,7.4
Bahamas,2016,30283.0,68.2,2.53,11.8,70.3,7.4
Bahamas,2017,30814.0,68.2,2.51,11.5,70.3,7.4
Bahamas,2018,31484.0,68.2,2.49,11.2,70.3,7.4
Bahamas,2019,31042.0,68.2,2.48,14.6,70.3,7.4
Bahamas,2020,23633.0,68.2,0.0,10.6,70.3,7.4
Barbados,1990,15997.0,68.2,-4.99,16.3,70.3,7.4
Barbados,1991,15341.0,68.2,-2.48,15.7,70.3,7.4
Barbados,1992,14226.0,68.2,-2.38,15.0,70.3,7.4
Barbados,1993,14355.0,68.2,-2.52,14.5,70.3,7.4
Barbados,1994,14859.0,68.2,-2.62,14.0,70.3,7.4
Barbados,1995,15125.0,68.2,-2.86,13.7,70.3,7.4
Barbados,1996,15695.0,68.2,-3.07,13.5,70.3,7.4
Barbados,1997,16414.0,68.2,-3.05,13.4,70.3,7.4
Barbados,1998,17002.0,68.2,-2.86,13.4,70.3,7.4
Barbados,1999,17018.0,68.2,-2.22,13.5,70.3,7.4
Barbados,2000,17378.0,68.2,-3.14,13.7,70.3,7.4
Barbados,2001,16890.0,68.2,-0.39,13.9,70.3,7.4
Barbados,2002,16933.0,68.2,-0.45,14.0,70.3,7.4
Barbados,2003,17203.0,68.2,-0.54,14.2,70.3,7.4
Barbados,2004,17384.0,68.2,-0.59,14.2,70.3,7.4
Barbados,2005,18012.0,68.2,-0.64,14.2,70.3,7.4
Barbados,2006,19454.0,68.2,-0.59,14.1,70.3,7.4
Barbados,2007,19785.0,68.2,0.07,14.0,70.3,7.4
Barbados,2008,19824.0,68.2,1.09,13.8,70.3,7.4
Barbados,2009,18747.0,68.2,0.27,13.7,70.3,7.4
Barbados,2010,18244.0,68.2,-0.13,13.5,70.3,7.4
Barbados,2011,18065.0,68.2,-0.2,13.4,70.3,7.4
Barbados,2012,17942.0,68.2,-0.23,13.3,70.3,7.4
Barbados,2013,17637.0,68.2,-0.23,13.2,70.3,7.4
Barbados,2014,17584.0,68.2,-0.23,12.9,70.3,7.4
Barbados,2015,17980.0,68.2,-0.23,12.7,70.3,7.4
Barbados,2016,18402.0,68.2,-0.23,12.4,70.3,7.4
Barbados,2017,18446.0,68.2,-0.23,12.1,70.3,7.4
Barbados,2018,18224.0,68.2,-0.23,11.8,70.3,7.4
Barbados,2019,18168.0,68.2,-0.23,11.4,70.3,7.4
Barbados,2020,15721.0,68.2,0.0,11.1,70.3,7.4
Belice,1990,4290.0,68.2,-9.77,31.2,70.3,7.4
Belice,1991,4682.0,68.2,-9.06,29.5,70.3,7.4
Belice,1992,5141.0,68.2,-8.55,27.9,80.9,7.4
Belice,1993,5354.0,68.2,-7.82,26.4,80.9,7.4
Belice,1994,5249.0,68.2,-4.03,25.1,80.9,7.4
Belice,1995,5148.0,68.2,1.34,24.0,80.9,7.4
Belice,1996,5048.0,68.2,6.49,22.9,80.9,7.4
Belice,1997,5054.0,68.2,9.57,22.0,80.9,7.4
Belice,1998,5068.0,68.2,9.61,21.3,80.9,7.4
Belice,1999,5338.0,68.2,8.47,20.4,80.9,7.4
Belice,2000,5840.0,68.2,7.0,19.9,80.9,7.4
Belice,2001,5942.0,68.2,7.74,19.6,80.9,7.4
Belice,2002,6054.0,68.2,7.75,18.6,80.0,7.4
Belice,2003,6418.0,68.2,8.37,18.2,80.0,7.4
Belice,2004,6516.0,68.2,8.6,17.9,80.0,7.4
Belice,2005,6462.0,68.2,8.59,17.7,80.0,7.4
Belice,2006,6563.0,68.2,9.04,17.4,80.0,7.4
Belice,2007,6554.0,68.2,9.15,17.1,80.0,7.4
Belice,2008,6471.0,68.2,8.88,16.9,80.0,7.4
Belice,2009,6268.0,68.2,8.62,16.4,80.0,7.4
Belice,2010,6191.0,68.2,5.12,16.0,80.0,7.4
Belice,2011,6045.0,68.2,4.81,15.5,80.0,7.4
Belice,2012,6136.0,68.2,4.55,15.0,80.0,7.4
Belice,2013,6273.0,68.2,4.37,14.3,80.0,7.4
Belice,2014,6388.0,68.2,4.13,13.7,80.0,7.4
Belice,2015,6464.0,68.2,3.8,13.0,80.0,7.4
Belice,2016,6341.0,68.2,3.5,12.3,80.0,7.4
Belice,2017,6110.0,68.2,3.27,11.7,80.0,7.4
Belice,2018,6059.0,68.2,3.11,11.0,80.0,7.4
Belice,2019,6217.0,68.2,3.0,10.5,80.0,7.4
Belice,2020,5305.0,68.2,0.0,10.0,80.0,7.4
Bolivia (Estado Plurinacional de),1990,1819.0,68.2,-3.08,92.3,80.0,7.4
Bolivia (Estado Plurinacional de),1991,1876.0,68.2,-3.17,88.9,80.0,7.4
Bolivia (Estado Plurinacional de),1992,1868.0,68.2,-3.24,85.6,80.0,7.4
Bolivia (Estado Plurinacional de),1993,1909.0,68.2,-3.27,82.0,86.7,7.4
Bolivia (Estado Plurinacional de),1994,1960.0,68.2,-3.18,78.5,86.7,7.4
Bolivia (Estado Plurinacional de),1995,2013.0,68.2,-3.01,74.9,86.7,7.4
Bolivia (Estado Plurinacional de),1996,2062.0,68.2,-2.81,71.4,86.7,7.4
Bolivia (Estado Plurinacional de),1997,2124.0,68.2,-2.61,68.1,86.7,7.4
Bolivia (Estado Plurinacional de),1998,2191.0,68.2,-2.41,64.8,86.7,7.4
Bolivia (Estado Plurinacional de),1999,2161.0,68.2,-2.2,61.6,86.7,7.4
Bolivia (Estado Plurinacional de),2000,2175.0,68.2,-2.06,58.6,86.7,7.4
Bolivia (Estado Plurinacional de),2001,2173.0,71.8,-1.89,55.9,86.7,7.4
Bolivia (Estado Plurinacional de),2002,2188.0,70.1,-1.82,53.3,90.7,7.2
Bolivia (Estado Plurinacional de),2003,2209.0,71.2,-1.71,50.9,90.7,7.4
Bolivia (Estado Plurinacional de),2004,2261.0,71.2,-1.65,48.7,90.7,7.8
Bolivia (Estado Plurinacional de),2005,2321.0,67.7,-1.56,46.6,90.7,8.1
Bolivia (Estado Plurinacional de),2006,2390.0,71.0,-1.48,44.6,90.7,8.4
Bolivia (Estado Plurinacional de),2007,2456.0,68.5,-1.41,42.6,90.7,8.3
Bolivia (Estado Plurinacional de),2008,2562.0,71.4,-1.36,40.6,90.7,8.6
Bolivia (Estado Plurinacional de),2009,2603.0,71.6,-1.3,38.6,91.2,8.9
Bolivia (Estado Plurinacional de),2010,2665.0,72.3,-1.23,36.7,92.2,9.2
Bolivia (Estado Plurinacional de),2011,2757.0,72.3,-1.16,34.9,92.2,9.5
Bolivia (Estado Plurinacional de),2012,2850.0,69.2,-1.1,33.4,94.5,8.9
Bolivia (Estado Plurinacional de),2013,2995.0,69.6,-1.06,32.3,92.5,9.2
Bolivia (Estado Plurinacional de),2014,3108.0,71.9,-1.0,31.3,92.5,9.2
Bolivia (Estado Plurinacional de),2015,3208.0,66.7,-0.95,30.6,92.5,9.3
Bolivia (Estado Plurinacional de),2016,3294.0,70.4,-0.89,30.0,93.9,9.4
Bolivia (Estado Plurinacional de),2017,3380.0,67.6,-0.84,29.5,93.9,9.8
Bolivia (Estado Plurinacional de),2018,3471.0,67.3,-0.8,29.0,93.9,9.9
Bolivia (Estado Plurinacional de),2019,3497.0,70.3,-0.76,28.4,93.9,7.8
Bolivia (Estado Plurinacional de),2020,3149.0,67.2,-0.39,27.6,93.9,7.8
Brasil,1990,6558.0,64.3,0.04,52.6,86.4,7.8
Brasil,1991,6512.0,64.3,-0.2,50.4,86.4,7.8
Brasil,1992,6371.0,64.3,-0.13,48.1,86.4,7.8
Brasil,1993,6577.0,64.3,-0.14,45.7,86.4,7.8
Brasil,1994,6852.0,64.3,-0.07,43.2,86.4,7.8
Brasil,1995,7030.0,64.3,-0.16,40.7,86.4,7.8
Brasil,1996,7072.0,64.3,-0.15,38.3,86.4,7.8
Brasil,1997,7202.0,64.3,-0.12,36.1,86.4,7.8
Brasil,1998,7100.0,64.3,-0.13,33.9,86.4,7.8
Brasil,1999,7017.0,64.3,-0.15,31.9,86.4,7.8
Brasil,2000,7220.0,64.3,-0.01,30.0,86.4,7.8
Brasil,2001,7225.0,64.3,0.02,28.2,88.6,7.8
Brasil,2002,7352.0,65.4,0.03,26.4,88.6,8.0
Brasil,2003,7348.0,65.0,-0.09,24.7,88.6,8.2
Brasil,2004,7683.0,66.4,-0.03,23.2,88.6,8.3
Brasil,2005,7841.0,67.0,-0.23,21.7,89.6,8.4
Brasil,2006,8064.0,67.4,-0.18,20.4,89.6,8.7
Brasil,2007,8466.0,67.4,-0.16,19.2,90.0,8.8
Brasil,2008,8810.0,68.3,-0.18,18.2,90.0,9.0
Brasil,2009,8715.0,67.7,-0.15,17.3,90.3,9.2
Brasil,2010,9284.0,66.9,0.09,16.5,90.4,9.4
Brasil,2011,9564.0,66.9,0.17,15.9,91.4,9.7
Brasil,2012,9660.0,67.2,0.22,15.3,91.3,9.8
Brasil,2013,9864.0,66.7,0.17,14.8,91.5,9.9
Brasil,2014,9829.0,67.5,0.12,14.4,91.7,10.0
Brasil,2015,9401.0,64.4,0.02,14.1,92.0,10.5
Brasil,2016,9020.0,62.1,0.4,13.9,92.8,10.6
Brasil,2017,9067.0,61.7,0.27,13.7,93.1,10.8
Brasil,2018,9155.0,62.2,0.32,13.5,93.2,10.9
Brasil,2019,9197.0,63.1,0.33,13.3,94.3,11.2
Brasil,2020,8836.0,57.4,0.27,13.1,94.3,10.7
Chile,1990,5866.0,54.0,-0.39,16.2,94.3,10.7
Chile,1991,6231.0,54.0,-0.16,14.4,94.3,10.7
Chile,1992,6885.0,54.0,0.0,13.8,94.3,10.7
Chile,1993,7252.0,54.0,0.09,12.6,95.7,10.7
Chile,1994,7551.0,54.0,0.14,11.6,95.7,10.7
Chile,1995,8234.0,54.0,0.17,10.7,95.7,10.7
Chile,1996,8725.0,54.0,0.2,11.0,95.7,10.7
Chile,1997,9247.0,54.0,0.24,10.1,95.7,10.7
Chile,1998,9513.0,54.0,0.28,10.7,95.7,10.7
Chile,1999,9375.0,54.0,0.33,10.6,95.7,10.7
Chile,2000,9728.0,54.0,0.38,9.6,95.7,10.7
Chile,2001,9924.0,55.7,0.43,9.0,95.7,11.0
Chile,2002,10131.0,55.7,0.5,8.3,95.7,11.0
Chile,2003,10499.0,55.7,0.58,8.1,96.7,11.0
Chile,2004,11089.0,57.9,0.72,8.5,96.7,11.0
Chile,2005,11622.0,57.9,0.89,7.9,96.7,11.0
Chile,2006,12205.0,57.9,1.06,7.5,96.7,11.0
Chile,2007,12710.0,55.7,1.22,8.1,96.7,11.4
Chile,2008,13060.0,57.6,1.35,7.7,96.7,11.4
Chile,2009,12782.0,57.6,1.45,7.8,96.7,11.4
Chile,2010,13395.0,57.6,1.53,7.3,96.7,11.3
Chile,2011,14088.0,57.6,1.64,7.4,96.7,11.3
Chile,2012,14810.0,59.6,1.78,7.1,96.3,11.6
Chile,2013,15153.0,59.6,2.09,6.6,96.3,11.6
Chile,2014,15270.0,60.6,2.98,7.2,96.9,11.8
Chile,2015,15439.0,60.6,3.12,6.8,96.9,11.8
Chile,2016,15524.0,61.9,7.02,6.7,96.4,12.1
Chile,2017,15491.0,61.9,11.76,6.6,96.4,12.1
Chile,2018,15822.0,55.1,12.77,6.7,91.1,12.7
Chile,2019,15657.0,55.1,12.16,6.6,91.1,12.7
Chile,2020,14496.0,55.1,5.11,5.0,91.1,8.0
Colombia,1990,3957.0,60.0,-0.53,29.0,91.1,8.0
Colombia,1991,3969.0,60.0,-1.46,28.1,91.1,8.0
Colombia,1992,4061.0,60.0,-0.88,27.2,91.1,8.0
Colombia,1993,4209.0,60.0,-0.87,26.4,91.1,8.0
Colombia,1994,4340.0,60.0,-0.45,25.5,91.2,8.0
Colombia,1995,4481.0,60.0,-0.92,24.6,91.2,8.0
Colombia,1996,4490.0,60.0,-0.77,23.8,91.2,8.0
Colombia,1997,4562.0,60.0,-0.63,23.0,92.8,8.0
Colombia,1998,4509.0,60.0,-0.66,22.3,92.8,8.0
Colombia,1999,4248.0,60.0,-0.8,21.6,92.8,8.0
Colombia,2000,4302.0,60.0,-0.79,20.9,92.8,8.0
Colombia,2001,4305.0,60.0,-0.69,20.4,92.8,8.0
Colombia,2002,4346.0,60.0,-0.6,19.7,92.8,8.0
Colombia,2003,4450.0,61.7,-0.8,19.1,92.8,8.1
Colombia,2004,4621.0,60.6,-0.62,18.6,92.8,8.2
Colombia,2005,4773.0,61.4,-0.98,18.1,92.8,8.3
Colombia,2006,5028.0,60.5,-0.92,17.5,92.3,8.7
Colombia,2007,5300.0,60.5,-1.14,17.0,92.7,8.7
Colombia,2008,5411.0,60.5,-1.44,16.5,93.4,8.7
Colombia,2009,5411.0,62.4,-1.06,16.0,93.2,8.5
Colombia,2010,5591.0,63.7,-0.76,15.5,93.4,8.7
Colombia,2011,5914.0,65.1,-1.02,15.1,93.6,8.8
Colombia,2012,6082.0,66.3,-1.22,14.5,94.2,8.9
Colombia,2013,6331.0,66.5,-1.4,14.0,94.2,9.1
Colombia,2014,6553.0,67.1,-1.45,13.6,94.2,9.2
Colombia,2015,6684.0,67.6,-0.87,13.2,94.2,9.3
Colombia,2016,6751.0,67.2,1.68,12.7,94.7,9.4
Colombia,2017,6740.0,66.9,8.63,12.4,95.1,9.5
Colombia,2018,6783.0,66.4,10.08,12.0,95.2,9.6
Colombia,2019,6872.0,65.2,7.92,11.6,95.6,9.7
Colombia,2020,6281.0,57.5,4.52,11.2,94.9,9.9
Costa Rica,1990,5927.0,58.7,2.52,14.3,94.9,8.2
Costa Rica,1991,5909.0,58.7,3.33,13.8,94.9,8.2
Costa Rica,1992,6293.0,58.7,3.94,13.3,94.9,8.2
Costa Rica,1993,6574.0,58.7,4.24,13.1,94.9,8.2
Costa Rica,1994,6706.0,58.7,4.47,12.8,94.9,8.2
Costa Rica,1995,6821.0,58.7,4.66,12.7,94.9,8.2
Costa Rica,1996,6756.0,58.7,4.77,12.6,94.9,8.2
Costa Rica,1997,6967.0,58.7,4.78,12.3,94.9,8.2
Costa Rica,1998,7306.0,58.7,4.64,12.0,94.9,8.2
Costa Rica,1999,7457.0,58.7,4.13,11.7,94.9,8.2
Costa Rica,2000,7595.0,58.7,3.42,11.2,94.9,8.2
Costa Rica,2001,7716.0,60.2,2.71,10.8,97.4,8.3
Costa Rica,2002,7845.0,59.6,2.17,10.4,97.4,8.4
Costa Rica,2003,8055.0,59.8,1.91,10.1,97.4,8.6
Costa Rica,2004,8285.0,58.8,1.75,9.9,97.4,8.6
Costa Rica,2005,8488.0,61.1,1.63,9.7,97.4,8.7
Costa Rica,2006,8980.0,61.1,1.52,9.6,97.4,8.8
Costa Rica,2007,9583.0,62.8,1.41,9.6,97.4,8.9
Costa Rica,2008,9899.0,62.1,1.3,9.4,97.4,9.0
Costa Rica,2009,9681.0,60.1,1.16,9.2,97.4,9.1
Costa Rica,2010,10069.0,59.4,1.02,9.1,97.4,9.0
Costa Rica,2011,10383.0,60.8,0.91,8.8,97.4,9.1
Costa Rica,2012,10760.0,60.5,0.84,8.5,98.0,9.3
Costa Rica,2013,10902.0,60.1,0.82,8.2,98.0,9.3
Costa Rica,2014,11165.0,59.7,0.82,8.0,98.0,9.6
Costa Rica,2015,11452.0,60.2,0.83,7.8,98.0,9.4
Costa Rica,2016,11813.0,61.5,0.84,7.6,98.0,9.3
Costa Rica,2017,12185.0,60.0,0.84,7.4,98.0,9.4
Costa Rica,2018,12387.0,59.5,0.83,7.2,98.0,9.6
Costa Rica,2019,12577.0,58.4,0.82,7.0,98.0,9.7
Costa Rica,2020,11949.0,49.7,0.41,6.8,98.0,9.8
Cuba,1990,5447.0,64.0,-1.45,11.0,99.8,8.4
Cuba,1991,4825.0,64.0,-1.93,10.6,99.8,8.4
Cuba,1992,4239.0,64.0,-2.03,10.1,99.8,8.4
Cuba,1993,3589.0,64.0,-2.24,9.6,99.8,8.4
Cuba,1994,3600.0,64.0,-2.5,9.2,99.8,8.4
Cuba,1995,3675.0,64.0,-2.62,8.8,99.8,8.4
Cuba,1996,3950.0,64.0,-2.28,8.5,99.8,8.4
Cuba,1997,4047.0,64.0,-3.11,8.1,99.8,8.4
Cuba,1998,4040.0,64.0,-2.93,7.8,99.8,8.4
Cuba,1999,4276.0,64.0,-2.78,7.5,99.8,8.4
Cuba,2000,4514.0,64.0,-2.24,7.2,99.8,8.4
Cuba,2001,4644.0,64.0,-2.0,6.9,99.8,8.4
Cuba,2002,4697.0,64.0,-2.13,6.7,99.8,8.4
Cuba,2003,4863.0,64.0,-1.74,6.4,99.7,8.4
Cuba,2004,5131.0,64.0,-1.21,6.2,99.7,8.4
Cuba,2005,5695.0,64.0,-1.06,6.0,99.7,8.4
Cuba,2006,6374.0,64.0,-0.84,5.8,99.7,8.4
Cuba,2007,6832.0,64.0,-1.28,5.6,99.7,8.4
Cuba,2008,7109.0,64.0,-2.18,5.5,99.7,8.4
Cuba,2009,7208.0,64.0,-2.68,5.3,99.7,8.4
Cuba,2010,7375.0,64.0,-2.45,5.2,99.7,8.4
Cuba,2011,7576.0,64.0,-2.54,5.0,99.7,8.4
Cuba,2012,7797.0,64.0,-1.55,4.9,99.7,8.4
Cuba,2013,8003.0,64.0,-1.35,4.8,99.7,8.4
Cuba,2014,8079.0,64.0,-1.28,4.7,99.7,8.4
Cuba,2015,8432.0,64.0,-1.27,4.6,99.7,8.4
Cuba,2016,8474.0,64.0,-1.27,4.5,99.7,8.4
Cuba,2017,8631.0,64.0,-1.28,4.4,99.7,8.4
Cuba,2018,8832.0,64.0,-1.25,4.3,99.7,8.4
Cuba,2019,8826.0,64.0,-1.21,4.2,99.7,8.4
Cuba,2020,7871.0,64.0,-0.62,4.1,99.7,8.4
Dominica,1990,5192.0,64.0,-22.09,17.6,88.3,8.4
Dominica,1991,5292.0,64.0,-16.21,17.8,88.3,8.4
Dominica,1992,5400.0,64.0,-15.05,15.6,88.3,8.4
Dominica,1993,5508.0,64.0,-14.54,14.3,88.3,8.4
Dominica,1994,5510.0,64.0,-13.29,16.4,88.3,8.4
Dominica,1995,5677.0,64.0,-12.22,13.3,88.3,8.4
Dominica,1996,5854.0,64.0,-11.28,13.5,88.3,8.4
Dominica,1997,5990.0,64.0,-10.99,13.8,88.3,8.4
Dominica,1998,6234.0,64.0,-11.23,13.2,88.3,8.4
Dominica,1999,6275.0,64.0,-13.66,19.4,88.3,8.4
Dominica,2000,6459.0,64.0,-14.44,16.7,88.3,8.4
Dominica,2001,6464.0,64.0,-8.8,19.9,88.3,8.4
Dominica,2002,6272.0,64.0,-4.07,13.7,88.3,8.4
Dominica,2003,6661.0,64.0,-3.78,17.8,88.3,8.4
Dominica,2004,6844.0,64.0,-4.42,14.4,88.3,8.4
Dominica,2005,6879.0,64.0,-4.56,17.8,88.3,8.4
Dominica,2006,7200.0,64.0,-5.66,13.9,88.3,8.4
Dominica,2007,7646.0,64.0,-4.82,17.5,88.3,8.4
Dominica,2008,8190.0,64.0,-5.03,12.8,88.3,8.4
Dominica,2009,8095.0,64.0,-3.31,19.8,88.3,8.4
Dominica,2010,8149.0,64.0,-3.53,21.2,88.3,8.4
Dominica,2011,8143.0,64.0,0.0,30.6,88.3,8.4
Dominica,2012,8033.0,64.0,2.3,28.0,88.3,8.4
